분류,제목,회사명,경력유무,학력,성별,연령,전공,장애인채용구분,우대조건,고용형태,직무,담당업무,직급,직책,근무지역,근무시간/요일,근무형태,복리후생,근무기간,급여조건,계약기간,작업환경,장애인편의시설,담당자명,연락처,이메일,접수기간,접수방법,전형일정,홈페이지,적합장애유형,부적합장애유형,기업정보.업종,기업정보.사원수,기업정보.대표자,기업정보.기업형태,기업정보.주소
미용·여행·숙박·음식·경비·돌봄·청소,"[(주) 바른종합관리]현대제철 공장 내 세탁물 수거 및 세탁, 정리 등 직원 채용",(주)바른종합관리,경력무관,학력무관,,,,장애정도 무관,"장애인, 취업보호대상자",정규직,세탁원,"세탁물 수거, 세탁, 정리 및 배송지원 등",사원급,팀원,경북 포항시,08:30 ~ 16:30 주6일,,"연차, 식사제공, 4대보험 가입",,월급 (215만원~215만원),,,,김현욱,,barun2240@naver.com,2024.07.04 ~ 2024.09.04,"장애인채용포털 접수, 이메일",서류전형 > 1차면접 > 최종합격,https://www.ablejob.co.kr/recruit/barun2240.com,"['지체장애(경증)', '청각장애(경증)']","['언어장애(중증)', '정신장애']",,87명,,중소기업,"경남 양산시 물금읍 증산역로149, 세영프라자 701호"
경영·사무·금융·보험,"[컬리] 사무보조(엑셀 입력, 데이터 정리)(재택(서울), 일 4시간)",컬리,경력무관,학력무관,,,,장애정도 무관,,계약직,사무보조,"상품 관련 데이터 입력 및 서칭 (엑셀사용), 협력사 문의 내용 정리 및 공유",사원급,팀원,서울 강남구,"주 5일, 일 4시간 (휴게시간 30분 별도)",재택 근무(업무교육을 위해 입사 첫날 오피스 출근),"4대보험 및 상해보험, 퇴직연금, 컬리 적립금 지급",1년,"시급 (9,860원~9,860원)",1년,,,김민진,010-2776-9672,gaeon.kim@kurlycorp.com,2024.06.25 ~ 2024.07.15,이메일,서류 전형 - 면접 전형 - 최종 합격자 발표,,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']",['정신장애'],,,,,서울 강남구 테헤란로 133
교육·법률·사회복지·경찰·소방 및 군인,중증장애인 동료상담가 모집,대덕구장애인자립생활센터,경력무관,학력무관,,,,장애인만 채용 심한 장애,,계약직,동료상담가,,사원급,팀원,대전 대덕구,주15시간 주5일,,"4대보험, 성과수당",,월급 (최소 78만원원 이상),7개월,,,박반석,,ddil2008@hanmail.net,2024.06.24 ~ (채용 시 마감),이메일,,,"['지체장애(중증)', '뇌병변장애(중증)', '정신장애']","['지체장애(경증)', '뇌병변장애(경증)', '시각장애(경증)', '청각장애(경증)']",,,,,대전 대덕구 대전광역시 대덕구 계족산로36번길 27(중리동)
경영·사무·금융·보험,"[장애인전형,판교]다우기술 고객상담직 인재 영입",나라에이치알,경력무관,고졸,,,,장애정도 무관,"인바운드 상담 경력 보유, IT 관련 지식 혹은 경험 보유, 컴퓨터 활용 능숙",계약직,고객지원팀(고객상담),"인터넷 서비스 고객지원, 인바운드 위주의 고객지원",사원급,팀원,경기 성남시,08:50 ~ 18:00 (월~금) 주5일,주 2~3회 재택근무 가능,"대기업 최상위 복지 제공, 명절, 생일선물 지급, 월 1회 금요일 오전근무, 경조휴가, 교육제도, 성장지원, 회사 콘도 이용지원",,월급 (264만원~314만원),1년 (정규직 전환 가능),,,현주영,,narahr@naver.com,2024.06.14 ~ 2024.07.08,"장애인채용포털 접수, 이메일",서류전형 → 면접전형(화상/대면) → 최종합격,https://www.ablejob.co.kr/,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '시각장애(중증)']",정보통신업,27명,,중소기업,경기 성남시 분당구 장미로 86
경영·사무·금융·보험,[재택근무] 건설사 사무직 인재 모집 - 7월 초 입사,장애인잡,경력무관,학력무관,,,,장애정도 무관,중증장애인 우대,계약직,사무직,"정보 검색 및 자료조사, 리포트형식으로 정리해서 제출",사원급,팀원,재택근무,"일 3.5시간(오전/오후 협의), 주5일",,,,월급 (면접 시 협의),1년,"재택근무, 개인PC 활용 가능",,현주영,,manager@narahr.com,2024.06.14 ~ 2024.07.08,"장애인채용포털 접수, 이메일",서류전형 → 면접전형(화상) → 최종합격,https://www.ablejob.co.kr/,"['지체장애(경증)', '뇌병변장애(경증)', '언어장애(경증)', '청각장애(경증)']","['시각장애(중증)', '청각장애(중증)', '지체장애(중증)']",정보통신업,25명,,,"경기 성남시 분당구 장미로 86, 702호"
미용·여행·숙박·음식·경비·돌봄·청소,[분당] 힐튼 호텔 식음료부 장애인 인재 모집 - 합격률 높음,나라에이치알,신입/경력 무관,학력무관,,,,장애정도 무관,인근거주자,계약직,식음료부 뷔페 레스토랑,"식음료 레스토랑 영업 사전 준비, 백사이드 청결 관리, 도구 및 재료 관리",면접 후 결정,면접 후 결정,경기 성남시 분당구 백현로 26 더블트리 바이 힐튼 서울 판교,일 8시간(주 5일),,"명절선물, 경조사지원, 교육, 직원식당, 직원 요금 할인 등",1년 (정규직 전환 가능),회사 내규에 따름(면접 시 협의),1년,,,현주영,,narahr@naver.com,2024.06.14 ~ 2024.07.15,"장애인채용포털 접수, 이메일",서류전형 → 면접전형 → 최종합격,https://www.ablejob.co.kr/,"['지체장애(경증)', '청각장애(경증)']","['뇌병변장애(중증)', '정신장애']",정보통신업,27명,,중소기업,경기 성남시 분당구 장미로 86
경영·사무·금융·보험,JNPMEDI [장애인채용] 인사총무 사무지원,제이앤피메디,신입,학력무관,,,,장애정도 무관,"컴퓨터활용우수자, 커뮤니케이션 능통",계약직,인사총무 사무지원,"['인사 업무 관련 지원', '사내 비품 및 소모품 재고 관리', '사무실 환경 유지 및 관리', '총무 관련 업무 (우편물 관리/ 사내 간식 준비 등)']",사원급,팀원,인천 연수구,"오전 10시~오후 7시, 주5일",계약직,"4대보험, 중식제공 등",1년,연봉 (면접 시 협의),1년,"최고급 사양의 IT 장비 및 웰컴키트 지급, 전좌석 모션 데스크 도입","장애인용 승강기, 장애인용 화장실, 문턱 없음",임석택,,,2024.06.13 ~ (채용 시 마감),"장애인채용포털 접수, 자사 홈페이지",,https://www.jnp.team/o/115132,"['지체장애(경증)', '뇌병변장애(경증)', '정신장애']","['지체장애(중증)', '청각장애(중증)']",,,,,"인천 연수구 컨벤시아대로 165, 31층"
경영·사무·금융·보험,"[장애인우대, 주4일] 사무관리 인재 영입",나라에이치알,경력무관,"대졸(2~3년), 졸업예정자 가능",무관,무관,무관,장애정도 무관,"정부과제 사업관리 경력 보유자 우대, 컴퓨터 활용능력 우수자 우대, 청년고용법에 의한 청년 우대, 직업상담원 자격요건 해당자 우대",정규직,"사무관리, HR사무","정부과제 사업 전반 관리, 자료 수집 및 보고서 작성, HR 관련 사무, 플랫폼 운영 관리",면접 후 결정,면접 후 결정,"경기 성남시, 야탑역 인근","오전 9시~오후 6시, 주 4일제",유연근무제,"식대지원, 통신비지원, 성과상여제, 장기근속자포상, 자유로운 연차사용",,230만원/월,수습계약 6개월 (수습기간 급여 100% 지급),,,현주영,,manager@narahr.com,2024.07.08 ~ 2024.07.22,장애인잡 온라인 접수 및 이메일 접수(narahr@naver.com),서류전형 → 면접전형(화상/대면) → 최종합격,https://www.ablejob.co.kr/,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['뇌병변장애(중증)', '시각장애(중증)']",정보통신업,27명,,중소기업,경기 성남시 분당구 장미로 86
경영·사무·금융·보험,"[장애인전형, 서울/여주] 프라다코리아 매장관리 인재 모집",프라다코리아(유),경력무관,고졸,,,,장애정도 무관,등록 장애인(경증 우대),"정규직, 계약직",팀원,"Stockroom Assistant (매장 내 오퍼레이션 담당 업무) - 상품 입/출고 및 재고관리, 매장 운영 지원 및 매장 내/외부 Stockroom 관리, 상품 Packaging 준비 및 Condition 확인, IT 시스템 상 제품 등록 및 관리","사원급, 주임~대리급",,"서울 강남구, 서울 송파구, 서울 중구 / 프라다 여주 아울렛",근무시간 협의 / 주 40시간 스케줄 근무,정규직 (수습 3개월 적용) / 계약직 (희망 계약기간),"명절상품권, 자기계발비(1년 이상 근속 시)",1년 (정규직 전환 가능),연봉 (면접 시 협의),계약기간 선택 가능,,,현주영,,narahr@naver.com,2024.06.03 ~ 2024.07.08,이메일 (narahr@naver.com),서류전형 → 1차 면접 → 2차 면접 → 최종합격,https://www.ablejob.co.kr/,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '정신장애']",정보통신업,27명,,중소기업,경기 성남시 분당구 장미로 86
교육·법률·사회복지·경찰·소방 및 군인,(여주)TOP발달센터 발달장애인 주간/방과후 활동서비스 제공인력 모집,티오피발달센터(TOP발달센터),신입·경력,대졸(2~3년),,,"사회복지, 특수교육, 언어치료학, (사회)체육학 등 관련 전공",장애인만 채용,"운전가능자(1종), 유관업무 경험자(인턴·알바)",정규직,발달장애인 주간/방과후 활동서비스 제공,"이용자(성인, 청소년 발달장애인) 관리 및 상담, 프로그램 계획 및 운영, 관련서류 작성 및 관리",면접 후 결정,,경기 여주시,"주5일 (월~금 09:00~19:00), 토요일 근무시 휴일수당 지급",,"4대보험, 퇴직금, 자기개발비, 월세 일부 지원, 경조사비",,월급(면접 시 협의),,,,,,,,,"서류전형 > 1차면접 > 최종합격, 면접 일정은 추후 통보",,"['지체장애(경증)', '언어장애(경증)', '정신장애']","['지체장애(중증)', '청각장애(중증)']",,,,,경기 여주시 현암3길 8 (현암동)
